state,sale_start,sale_end,revenue
Louisiana,2014-08-31,2014-09-01,1375.0
Washington,2014-12-23,2014-12-23,774.0
Indiana,2014-05-09,2014-05-11,628.0
California,2014-03-16,2014-03-19,768.0
Maine,2014-08-03,2014-08-06,325.0
Oregon,2014-03-03,2014-03-06,871.0
Illinois,2014-12-06,2014-12-09,1287.0
New York,2014-09-14,2014-09-17,742.0
Florida,2014-11-08,2014-11-11,776.0
Montana,2014-12-23,2014-12-23,966.0
Maine,2014-04-08,2014-04-09,216.0
Texas,2014-12-06,2014-12-09,1174.0
Nebraska,2014-12-24,2014-12-26,534.0
Mississippi,2014-05-18,2014-05-19,701.0
Alaska,2014-11-08,2014-11-08,753.0
Oklahoma,2014-01-17,2014-01-20,638.0
California,2014-12-23,2014-12-25,539.0
New York,2014-01-20,2014-01-22,877.0
Mississippi,2014-02-26,2014-03-01,836.0
Nebraska,2014-03-02,2014-03-02,789.0
Idaho,2014-12-15,2014-12-16,1312.0
Oklahoma,2014-03-23,2014-03-26,577.0
New Mexico,2014-09-14,2014-09-17,1063.0
Louisiana,2014-12-09,2014-12-11,1297.0
Louisiana,2014-05-31,2014-06-01,1678.0
Montana,2014-08-21,2014-08-23,817.0
Oklahoma,2014-05-19,2014-05-22,485.0
Georgia,2014-10-19,2014-10-19,1234.0
Alaska,2014-06-14,2014-06-17,661.0
Florida,2014-04-16,2014-04-18,971.0
New Mexico,2014-08-19,2014-08-22,1342.0
Oregon,2014-11-19,2014-11-19,789.0
Alaska,2014-01-01,2014-01-04,678.0
Florida,2014-11-02,2014-11-04,872.0
Mississippi,2014-06-15,2014-06-18,605.0
Arkansas,2014-09-01,2014-09-02,1211.0
Mississippi,2014-05-19,2014-05-22,461.0
Oregon,2014-03-28,2014-03-29,872.0
Montana,2014-05-11,2014-05-12,987.0
Ohio,2014-01-22,2014-01-25,651.0
Illinois,2014-10-29,2014-10-30,1195.0
Louisiana,2014-11-26,2014-11-29,1403.0
Mississippi,2014-01-01,2014-01-02,721.0
Idaho,2014-04-20,2014-04-22,1418.0
Iowa,2014-08-14,2014-08-14,1182.0
Montana,2014-09-04,2014-09-06,902.0
Oklahoma,2014-08-27,2014-08-29,569.0
Maine,2014-01-08,2014-01-09,387.0
Ohio,2014-04-24,2014-04-25,675.0
Alaska,2014-09-21,2014-09-21,725.0
Maine,2014-03-26,2014-03-26,324.0
Maine,2014-06-29,2014-06-30,369.0
Indiana,2014-05-06,2014-05-06,575.0
New Mexico,2014-12-10,2014-12-11,1069.0
Ohio,2014-03-04,2014-03-07,655.0
Georgia,2014-11-05,2014-11-07,1307.0
Arkansas,2014-12-05,2014-12-07,1159.0
Oklahoma,2014-03-30,2014-04-02,502.0
California,2014-08-04,2014-08-04,678.0
Louisiana,2014-02-25,2014-02-28,1554.0
Delaware,2014-05-15,2014-05-15,996.0
Kansas,2014-12-25,2014-12-27,1060.0
Texas,2014-12-03,2014-12-04,1109.0
Nebraska,2014-03-16,2014-03-17,671.0
Florida,2014-10-01,2014-10-02,822.0
Alaska,2014-01-03,2014-01-04,727.0
Arkansas,2014-11-11,2014-11-11,1175.0
Montana,2014-10-08,2014-10-10,908.0
Mississippi,2014-02-04,2014-02-04,729.0
Missouri,2014-10-21,2014-10-22,1072.0
Oklahoma,2014-01-23,2014-01-25,657.0
Alaska,2014-05-18,2014-05-19,580.0
Missouri,2014-03-06,2014-03-07,1324.0
Mississippi,2014-04-17,2014-04-20,701.0
Oregon,2014-03-18,2014-03-20,971.0
Missouri,2014-08-30,2014-09-02,1310.0
Oklahoma,2014-04-18,2014-04-18,488.0
Iowa,2014-10-05,2014-10-06,1094.0
Arkansas,2014-12-06,2014-12-06,1205.0
Mississippi,2014-06-06,2014-06-09,516.0
Louisiana,2014-12-09,2014-12-12,1409.0
Idaho,2014-04-28,2014-04-28,1354.0
Idaho,2014-05-27,2014-05-28,1399.0
Montana,2014-11-21,2014-11-24,732.0
Missouri,2014-11-03,2014-11-06,1248.0
Mississippi,2014-06-27,2014-06-28,740.0
Texas,2014-12-22,2014-12-24,1079.0
New Mexico,2014-10-22,2014-10-25,907.0
Oregon,2014-09-20,2014-09-20,747.0
Nevada,2014-07-07,2014-07-08,584.0
Idaho,2014-12-04,2014-12-05,1328.0
Louisiana,2014-08-19,2014-08-21,1443.0
Montana,2014-10-15,2014-10-16,859.0
Maine,2014-05-28,2014-05-28,386.0
Arkansas,2014-07-08,2014-07-08,1303.0
Washington,2014-11-02,2014-11-04,965.0
Louisiana,2014-12-07,2014-12-09,1265.0
Oregon,2014-01-13,2014-01-16,665.0
Arkansas,2014-10-31,2014-10-31,1126.0
Washington,2014-06-28,2014-07-01,902.0
Idaho,2014-07-04,2014-07-04,1244.0
New York,2014-05-23,2014-05-24,709.0
Florida,2014-02-28,2014-02-28,899.0
Georgia,2014-10-17,2014-10-20,1205.0
Arkansas,2014-08-08,2014-08-08,1283.0
Montana,2014-10-02,2014-10-02,762.0
New York,2014-03-08,2014-03-08,713.0
New Mexico,2014-09-13,2014-09-14,1230.0
Alaska,2014-05-14,2014-05-14,466.0
Georgia,2014-11-04,2014-11-04,1213.0
Texas,2014-08-29,2014-09-01,1157.0
Kansas,2014-05-30,2014-05-31,1161.0
Oklahoma,2014-04-25,2014-04-28,697.0
Idaho,2014-07-14,2014-07-14,1298.0
New York,2014-07-06,2014-07-07,531.0
Indiana,2014-04-28,2014-04-29,632.0
Washington,2014-11-17,2014-11-17,933.0
Kansas,2014-05-22,2014-05-23,1126.0
Idaho,2014-07-02,2014-07-05,1299.0
Georgia,2014-09-15,2014-09-15,1256.0
Nevada,2014-07-28,2014-07-31,369.0
Louisiana,2014-11-27,2014-11-27,1376.0
Delaware,2014-11-08,2014-11-11,636.0
Ohio,2014-04-22,2014-04-23,780.0
Montana,2014-11-25,2014-11-25,705.0
Louisiana,2014-08-25,2014-08-26,1439.0
Texas,2014-03-01,2014-03-04,1371.0
Florida,2014-07-22,2014-07-25,859.0
Delaware,2014-11-18,2014-11-19,861.0
Nebraska,2014-08-27,2014-08-27,498.0
Ohio,2014-03-07,2014-03-10,453.0
New Mexico,2014-09-21,2014-09-21,1117.0
Iowa,2014-06-05,2014-06-07,1354.0
Alaska,2014-03-30,2014-03-30,733.0
Indiana,2014-10-23,2014-10-25,492.0
Maine,2014-11-08,2014-11-11,314.0
Nevada,2014-03-24,2014-03-25,606.0
Arkansas,2014-09-01,2014-09-02,1214.0
Oregon,2014-02-10,2014-02-11,786.0
New York,2014-09-04,2014-09-06,599.0
Florida,2014-12-18,2014-12-20,990.0
Florida,2014-09-21,2014-09-22,900.0
Iowa,2014-10-12,2014-10-12,1109.0
Arkansas,2014-12-26,2014-12-26,1235.0
Indiana,2014-02-09,2014-02-09,563.0
Alaska,2014-03-16,2014-03-19,809.0
Texas,2014-12-05,2014-12-05,1124.0
Delaware,2014-11-07,2014-11-09,784.0
Iowa,2014-09-27,2014-09-29,1334.0
California,2014-05-31,2014-06-02,656.0
California,2014-06-08,2014-06-10,557.0
California,2014-01-21,2014-01-23,711.0
Oregon,2014-02-27,2014-02-28,846.0
New York,2014-07-23,2014-07-24,945.0
Texas,2014-02-28,2014-03-01,1370.0
New York,2014-02-07,2014-02-07,742.0
Mississippi,2014-04-14,2014-04-16,618.0
Texas,2014-08-25,2014-08-28,1277.0
Kansas,2014-08-25,2014-08-26,1029.0
Maine,2014-02-10,2014-02-11,391.0
Florida,2014-06-19,2014-06-22,929.0
Oregon,2014-02-19,2014-02-19,817.0
Missouri,2014-07-07,2014-07-09,1077.0
Washington,2014-03-12,2014-03-13,1025.0
Indiana,2014-07-18,2014-07-21,581.0
Arkansas,2014-08-07,2014-08-10,1106.0
Ohio,2014-06-19,2014-06-20,752.0
Oklahoma,2014-08-07,2014-08-07,635.0
California,2014-01-01,2014-01-04,740.0
Washington,2014-04-19,2014-04-19,1177.0
New York,2014-03-17,2014-03-19,846.0
Nebraska,2014-08-25,2014-08-25,693.0
Delaware,2014-09-22,2014-09-24,950.0
New York,2014-06-04,2014-06-06,802.0
New Mexico,2014-08-15,2014-08-15,1230.0
Maine,2014-05-11,2014-05-14,182.0
Indiana,2014-08-30,2014-09-02,494.0
Idaho,2014-05-26,2014-05-29,1514.0
Florida,2014-10-05,2014-10-06,795.0
Ohio,2014-01-20,2014-01-22,620.0
Maine,2014-01-23,2014-01-24,290.0
New York,2014-07-27,2014-07-30,746.0
New York,2014-03-12,2014-03-15,777.0
Oregon,2014-05-10,2014-05-12,619.0
Georgia,2014-09-24,2014-09-25,1216.0
Arkansas,2014-07-08,2014-07-08,1159.0
New York,2014-08-26,2014-08-29,833.0
Idaho,2014-08-11,2014-08-14,1188.0
Oklahoma,2014-04-06,2014-04-07,586.0
Louisiana,2014-12-10,2014-12-12,1314.0
Nevada,2014-03-25,2014-03-27,495.0
Alaska,2014-05-02,2014-05-04,464.0
Mississippi,2014-01-21,2014-01-21,707.0
Nevada,2014-06-01,2014-06-03,517.0
Mississippi,2014-08-16,2014-08-16,560.0
Kansas,2014-09-28,2014-10-01,1124.0
Maine,2014-01-06,2014-01-06,486.0
Florida,2014-07-23,2014-07-23,920.0
California,2014-12-10,2014-12-11,564.0
Missouri,2014-11-02,2014-11-02,1093.0
Florida,2014-09-03,2014-09-05,873.0
California,2014-08-22,2014-08-25,643.0
Iowa,2014-10-09,2014-10-12,1112.0
Oklahoma,2014-09-03,2014-09-04,568.0
Maine,2014-01-27,2014-01-27,457.0
Louisiana,2014-06-26,2014-06-27,1548.0
Illinois,2014-11-24,2014-11-24,1424.0
Arkansas,2014-08-12,2014-08-13,1095.0
Maine,2014-05-08,2014-05-10,219.0
Idaho,2014-05-21,2014-05-22,1531.0
Ohio,2014-04-21,2014-04-21,764.0
Ohio,2014-05-12,2014-05-12,677.0
Kansas,2014-08-22,2014-08-23,1152.0
Alaska,2014-02-05,2014-02-08,733.0
Maine,2014-01-13,2014-01-13,502.0
Missouri,2014-07-10,2014-07-10,1150.0
New Mexico,2014-11-12,2014-11-14,1190.0
Oklahoma,2014-08-30,2014-09-01,531.0
Kansas,2014-06-25,2014-06-28,1227.0
Mississippi,2014-03-12,2014-03-14,607.0
Nebraska,2014-05-21,2014-05-21,790.0
New Mexico,2014-11-14,2014-11-14,1178.0
Oregon,2014-02-10,2014-02-11,607.0
Iowa,2014-07-10,2014-07-11,1085.0
New York,2014-01-01,2014-01-01,848.0
Georgia,2014-11-08,2014-11-11,1108.0
Arkansas,2014-11-11,2014-11-14,1245.0
Arkansas,2014-08-24,2014-08-27,1236.0
Delaware,2014-10-11,2014-10-12,922.0
Ohio,2014-02-19,2014-02-22,678.0
Texas,2014-11-09,2014-11-12,1266.0
Arkansas,2014-12-14,2014-12-16,1341.0
Texas,2014-11-08,2014-11-08,1206.0
Kansas,2014-11-04,2014-11-05,976.0
Missouri,2014-11-10,2014-11-13,937.0
Oklahoma,2014-02-03,2014-02-05,600.0
Kansas,2014-09-29,2014-10-01,1030.0
Florida,2014-12-18,2014-12-19,740.0
Texas,2014-09-13,2014-09-16,1188.0
Nevada,2014-11-05,2014-11-06,492.0
Oklahoma,2014-01-20,2014-01-23,602.0
Florida,2014-11-25,2014-11-27,988.0
Florida,2014-06-08,2014-06-09,891.0
Alaska,2014-10-18,2014-10-21,680.0
Florida,2014-11-17,2014-11-19,821.0
Oklahoma,2014-05-04,2014-05-06,679.0
New Mexico,2014-07-05,2014-07-06,1157.0
Delaware,2014-04-19,2014-04-21,998.0
Oregon,2014-06-09,2014-06-11,799.0
Ohio,2014-03-14,2014-03-17,710.0
Florida,2014-12-20,2014-12-21,777.0
Mississippi,2014-02-14,2014-02-14,589.0
Iowa,2014-11-23,2014-11-23,922.0
Delaware,2014-08-30,2014-09-02,934.0
California,2014-03-24,2014-03-26,716.0
Louisiana,2014-06-23,2014-06-23,1356.0
Oklahoma,2014-07-26,2014-07-27,474.0
New Mexico,2014-10-12,2014-10-15,1198.0
Nevada,2014-02-19,2014-02-20,449.0
Indiana,2014-06-11,2014-06-11,567.0
Washington,2014-04-08,2014-04-11,1041.0
Texas,2014-02-27,2014-03-01,1553.0
Louisiana,2014-12-22,2014-12-25,1339.0
Nevada,2014-04-14,2014-04-16,553.0
Nebraska,2014-06-11,2014-06-12,695.0
Montana,2014-08-22,2014-08-23,944.0
Illinois,2014-10-01,2014-10-02,1451.0
Indiana,2014-06-21,2014-06-22,634.0
Idaho,2014-11-23,2014-11-25,1399.0
Oklahoma,2014-03-15,2014-03-16,603.0
Oregon,2014-09-27,2014-09-28,795.0
Illinois,2014-03-21,2014-03-24,1562.0
Maine,2014-01-27,2014-01-27,508.0
Indiana,2014-10-23,2014-10-24,658.0
Illinois,2014-06-21,2014-06-24,1667.0
Delaware,2014-08-06,2014-08-06,692.0
New York,2014-01-18,2014-01-20,853.0
Nevada,2014-06-20,2014-06-20,484.0
Montana,2014-06-03,2014-06-03,1031.0
California,2014-03-26,2014-03-29,733.0
Indiana,2014-06-01,2014-06-03,506.0
Montana,2014-03-31,2014-04-01,992.0
Washington,2014-09-01,2014-09-02,971.0
Nevada,2014-05-02,2014-05-05,479.0
Montana,2014-10-08,2014-10-11,840.0
New Mexico,2014-08-18,2014-08-21,1076.0
Oregon,2014-03-14,2014-03-17,751.0
Mississippi,2014-06-15,2014-06-16,690.0
New York,2014-01-10,2014-01-12,667.0
Iowa,2014-09-29,2014-10-01,1218.0
Mississippi,2014-08-30,2014-09-01,722.0
Arkansas,2014-11-07,2014-11-08,1122.0
Illinois,2014-12-20,2014-12-23,1275.0
Alaska,2014-04-08,2014-04-11,722.0
California,2014-03-09,2014-03-10,713.0
Ohio,2014-03-05,2014-03-05,799.0
Montana,2014-10-23,2014-10-25,803.0
Nebraska,2014-03-18,2014-03-19,766.0
New Mexico,2014-11-22,2014-11-24,1119.0
New York,2014-09-22,2014-09-23,702.0
Florida,2014-10-16,2014-10-16,1067.0
Georgia,2014-09-25,2014-09-26,1317.0
Oklahoma,2014-12-02,2014-12-05,573.0
Iowa,2014-12-24,2014-12-26,1028.0
Kansas,2014-11-28,2014-11-30,1202.0
Alaska,2014-09-06,2014-09-08,678.0
Indiana,2014-06-11,2014-06-14,648.0
Indiana,2014-12-21,2014-12-21,458.0
Delaware,2014-09-23,2014-09-25,792.0
Georgia,2014-11-01,2014-11-04,1250.0
Nebraska,2014-05-30,2014-05-30,838.0
New York,2014-04-09,2014-04-09,509.0
New Mexico,2014-09-22,2014-09-23,1097.0
New Mexico,2014-06-09,2014-06-12,1269.0
Iowa,2014-07-12,2014-07-13,1187.0
Kansas,2014-05-12,2014-05-14,1259.0
California,2014-04-07,2014-04-09,634.0
Idaho,2014-09-30,2014-09-30,1261.0
Alaska,2014-09-16,2014-09-19,513.0
Kansas,2014-07-30,2014-07-31,1319.0
Delaware,2014-07-01,2014-07-04,818.0
Nevada,2014-04-19,2014-04-19,536.0
Washington,2014-09-04,2014-09-06,901.0
Idaho,2014-07-21,2014-07-21,1412.0
Oklahoma,2014-01-24,2014-01-26,655.0
New York,2014-03-01,2014-03-04,715.0
Texas,2014-11-22,2014-11-24,1066.0
California,2014-01-24,2014-01-24,832.0
Arkansas,2014-10-25,2014-10-28,1155.0
Alaska,2014-10-02,2014-10-04,569.0
Illinois,2014-04-19,2014-04-19,1581.0
Mississippi,2014-08-28,2014-08-28,510.0
Kansas,2014-11-01,2014-11-02,1166.0
Maine,2014-04-14,2014-04-14,226.0
Delaware,2014-07-14,2014-07-17,947.0
Indiana,2014-01-12,2014-01-14,739.0
Nevada,2014-03-28,2014-03-28,335.0
Arkansas,2014-12-24,2014-12-26,1296.0
Oregon,2014-07-18,2014-07-18,817.0
Washington,2014-08-13,2014-08-15,985.0
Texas,2014-05-18,2014-05-18,1573.0
Louisiana,2014-07-17,2014-07-18,1637.0
Nevada,2014-02-25,2014-02-26,440.0
Kansas,2014-09-12,2014-09-12,1089.0
Texas,2014-08-29,2014-08-30,1113.0
Ohio,2014-01-17,2014-01-20,623.0
Missouri,2014-04-28,2014-05-01,1306.0
Missouri,2014-07-16,2014-07-16,1305.0
Indiana,2014-01-23,2014-01-23,641.0
Mississippi,2014-02-02,2014-02-03,736.0
Delaware,2014-06-08,2014-06-10,756.0
Nebraska,2014-04-20,2014-04-20,636.0
New York,2014-01-21,2014-01-23,893.0
Oregon,2014-04-07,2014-04-10,644.0
Oregon,2014-09-02,2014-09-02,705.0
Oklahoma,2014-10-28,2014-10-31,539.0
Kansas,2014-09-20,2014-09-22,1271.0
Washington,2014-12-07,2014-12-10,844.0
Ohio,2014-01-05,2014-01-06,737.0
Idaho,2014-05-21,2014-05-22,1380.0
Florida,2014-12-06,2014-12-09,681.0
Nevada,2014-08-17,2014-08-18,360.0
Ohio,2014-05-01,2014-05-03,701.0
Mississippi,2014-05-26,2014-05-29,761.0
Ohio,2014-01-23,2014-01-23,762.0
Nevada,2014-03-29,2014-03-29,500.0
Texas,2014-10-01,2014-10-04,1257.0
Oregon,2014-03-09,2014-03-09,815.0
Washington,2014-11-09,2014-11-11,999.0
Maine,2014-02-18,2014-02-20,368.0
Illinois,2014-04-02,2014-04-04,1363.0
Oklahoma,2014-08-24,2014-08-27,651.0
Maine,2014-05-11,2014-05-14,471.0
Florida,2014-06-16,2014-06-17,892.0
Nebraska,2014-02-22,2014-02-22,902.0
Delaware,2014-11-08,2014-11-11,786.0
Ohio,2014-12-05,2014-12-06,667.0
New Mexico,2014-10-14,2014-10-16,1118.0
Alaska,2014-06-07,2014-06-10,633.0
Nevada,2014-01-07,2014-01-07,342.0
New York,2014-04-15,2014-04-16,749.0
Montana,2014-12-08,2014-12-09,810.0
Georgia,2014-09-12,2014-09-14,1282.0
Kansas,2014-09-13,2014-09-15,1187.0
Montana,2014-07-05,2014-07-08,989.0
Louisiana,2014-05-20,2014-05-22,1352.0
Nebraska,2014-09-30,2014-10-02,788.0
Nevada,2014-01-06,2014-01-06,675.0
California,2014-05-13,2014-05-15,711.0
Nebraska,2014-04-21,2014-04-24,635.0
Kansas,2014-07-24,2014-07-27,1295.0
Texas,2014-10-10,2014-10-13,1169.0
Florida,2014-07-27,2014-07-28,997.0
New Mexico,2014-04-28,2014-04-30,1067.0
Oregon,2014-05-14,2014-05-14,812.0
California,2014-02-19,2014-02-21,807.0
Iowa,2014-08-29,2014-08-29,1173.0
Missouri,2014-10-27,2014-10-30,1151.0
Texas,2014-09-11,2014-09-13,1309.0
Indiana,2014-06-17,2014-06-19,579.0
Missouri,2014-08-31,2014-09-01,992.0
Missouri,2014-06-02,2014-06-03,1192.0
Idaho,2014-12-02,2014-12-04,1248.0
Indiana,2014-03-18,2014-03-21,480.0
Illinois,2014-11-06,2014-11-07,1318.0
Kansas,2014-04-22,2014-04-25,1190.0
Washington,2014-06-28,2014-06-30,893.0
Alaska,2014-02-07,2014-02-07,623.0
Delaware,2014-11-10,2014-11-10,855.0
Oklahoma,2014-04-18,2014-04-19,489.0
Illinois,2014-10-15,2014-10-16,1391.0
Texas,2014-11-09,2014-11-12,1321.0
Ohio,2014-01-21,2014-01-21,778.0
Mississippi,2014-09-05,2014-09-07,383.0
Montana,2014-10-11,2014-10-13,905.0
Nevada,2014-04-27,2014-04-28,650.0
Ohio,2014-09-12,2014-09-13,598.0
Idaho,2014-12-11,2014-12-13,1194.0
Nevada,2014-05-08,2014-05-09,558.0
Oregon,2014-01-09,2014-01-09,879.0
Idaho,2014-07-24,2014-07-25,1501.0
Missouri,2014-10-29,2014-11-01,1111.0
Florida,2014-09-23,2014-09-23,913.0
Maine,2014-04-16,2014-04-17,239.0
Oregon,2014-09-26,2014-09-28,749.0
Ohio,2014-01-23,2014-01-26,805.0
Oklahoma,2014-05-06,2014-05-09,751.0
Arkansas,2014-10-30,2014-11-02,1140.0
Arkansas,2014-09-20,2014-09-23,1276.0
New Mexico,2014-09-29,2014-09-29,1072.0
Georgia,2014-07-30,2014-08-01,1222.0
Idaho,2014-11-03,2014-11-05,1323.0
Montana,2014-10-04,2014-10-07,1025.0
Nevada,2014-05-27,2014-05-27,200.0
Delaware,2014-07-26,2014-07-28,926.0
Delaware,2014-08-13,2014-08-13,860.0
Mississippi,2014-02-22,2014-02-24,583.0
Ohio,2014-04-12,2014-04-15,581.0
Indiana,2014-08-22,2014-08-22,478.0
Delaware,2014-12-23,2014-12-26,981.0
Indiana,2014-02-15,2014-02-17,732.0
Illinois,2014-08-22,2014-08-23,1451.0
Mississippi,2014-03-27,2014-03-29,705.0
Texas,2014-08-15,2014-08-18,1153.0
Oklahoma,2014-01-08,2014-01-11,475.0
Missouri,2014-06-15,2014-06-18,1219.0
Oregon,2014-06-05,2014-06-07,751.0
Louisiana,2014-11-02,2014-11-03,1443.0
Washington,2014-12-19,2014-12-21,754.0
Illinois,2014-05-14,2014-05-17,1515.0
Illinois,2014-05-23,2014-05-26,1342.0
Mississippi,2014-10-05,2014-10-07,559.0
Oklahoma,2014-01-13,2014-01-13,479.0
Illinois,2014-08-07,2014-08-07,1384.0
Kansas,2014-09-07,2014-09-09,1287.0
Kansas,2014-03-16,2014-03-19,1361.0
Idaho,2014-08-13,2014-08-14,1249.0
Illinois,2014-12-20,2014-12-23,1267.0
Alaska,2014-03-30,2014-04-01,635.0
Maine,2014-06-02,2014-06-03,307.0
Washington,2014-10-18,2014-10-18,914.0
Illinois,2014-09-24,2014-09-25,1280.0
Florida,2014-07-11,2014-07-11,914.0
Mississippi,2014-03-05,2014-03-06,555.0
California,2014-01-25,2014-01-25,698.0
Ohio,2014-04-09,2014-04-11,691.0
Louisiana,2014-12-01,2014-12-04,1219.0
Oregon,2014-03-16,2014-03-19,724.0
Indiana,2014-10-04,2014-10-06,595.0
New Mexico,2014-10-30,2014-11-01,1055.0
Missouri,2014-12-04,2014-12-05,1157.0
Iowa,2014-09-15,2014-09-18,1207.0
Oregon,2014-02-07,2014-02-10,668.0
Ohio,2014-09-19,2014-09-22,587.0
New York,2014-03-20,2014-03-20,689.0
Georgia,2014-06-07,2014-06-10,1369.0
